EN,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,sameas1,sameas2,sameas3,sameas4,sameas5
Additive Manufacturing,1,0,0,0,0,0,0,0,0,0,,,,,
Artificial Intelligence,1,1,1,1,1,1,1,1,1,0,,,,,
Algorithm,1,1,1,1,1,1,1,1,1,0,,,,,
Augmented Reality,0,1,0,0,0,0,0,0,0,0,,,,,
Automation,1,0,1,1,1,1,1,0,0,0,,,,,
Neural Network,0,0,1,1,1,0,0,0,1,0,,,,,
Blockchain,0,0,1,1,0,0,0,1,0,0,,,,,
Cloud Computing,0,1,1,1,1,0,1,1,1,0,,,,,
Embedded System,0,1,1,0,0,1,0,0,0,0,,,,,
Cyber-Physical Production System,0,0,0,0,0,1,0,0,0,0,CPSS,,,,
Digital Supply Chain,0,0,0,0,1,1,0,0,0,0,,,,,
Enterprise Resource Planning,0,0,0,0,0,1,0,0,0,0,ERP,,,,
Fog Computing,0,0,0,0,1,0,0,1,0,0,,,,,
Graphical User Interface,1,1,1,1,0,1,1,1,1,0,,,,,
Human-Machine Interface,1,0,1,0,0,1,0,1,0,0,,,,,
Internet of Things,0,0,0,0,0,0,0,1,0,0,Connected Enterprise,,,,
Interoperability,0,0,1,0,1,1,0,1,0,0,,,,,
Lights-Out Environment,0,0,0,0,1,1,0,0,0,0,,,,,
M2M,0,0,1,0,0,0,0,1,0,0,,,,,
Open Data,0,0,0,1,0,0,0,0,0,0,,,,,
Overall Equipment Effectiveness,0,0,0,0,0,1,0,0,0,0,OEE,,,,
Platform,1,1,1,1,1,1,1,1,1,0,,,,,
Predective Maintenance,0,0,0,0,0,1,0,0,0,0,Predictive Analytics,,,,
Radio Frequency Identification,0,0,0,0,0,1,0,0,0,0,,,,,
Smart Contract,0,0,0,0,0,1,0,0,0,0,,,,,
Smart Factory,0,0,1,0,0,1,0,0,0,0,,,,,
Smart Manufacturing,0,0,1,0,0,1,0,0,0,0,,,,,
Supervisory Control and Data Acquisition,0,0,0,0,0,1,0,1,0,0,SCADA,,,,
Virtual Reality,0,1,0,0,0,0,0,0,1,0,,,,,
Advance Manufacturing,1,0,0,0,0,1,0,0,0,0,,,,,
Building Information Modelling,0,0,0,0,0,1,0,0,0,0,BIM,,,,
Circular Economy,0,0,1,0,0,1,0,0,0,0,,,,,
Data Literacy,0,0,1,0,0,0,0,0,0,0,,,,,
