EN,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,sameas1,sameas2,sameas3,sameas4,sameas5
Additive Manufacturing,Additive Manufacturing,,,,,,,,,,nan,nan,nan,nan,nan
Artificial Intelligence,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Algorithm,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Augmented Reality,,Augmented Reality,,,,,,,,,nan,nan,nan,nan,nan
Automation,Additive Manufacturing,,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,,,,nan,nan,nan,nan,nan
Neural Network,,,Autonomous Robots,Big Data,Cloud Computing,,,,Simulation,,nan,nan,nan,nan,nan
Blockchain,,,Autonomous Robots,Big Data,,,,Internet of Things,,,nan,nan,nan,nan,nan
Cloud Computing,,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Embedded System,,Augmented Reality,Autonomous Robots,,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Cyber-Physical Production System,,,,,,Cyber Physical System,,,,,CPSS,nan,nan,nan,nan
Digital Supply Chain,,,,,Cloud Computing,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Enterprise Resource Planning,,,,,,Cyber Physical System,,,,,ERP,nan,nan,nan,nan
Fog Computing,,,,,Cloud Computing,,,Internet of Things,,,nan,nan,nan,nan,nan
Graphical User Interface,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Human-Machine Interface,Additive Manufacturing,,Autonomous Robots,,,Cyber Physical System,,Internet of Things,,,nan,nan,nan,nan,nan
Internet of Things,,,,,,,,Internet of Things,,,Connected Enterprise,nan,nan,nan,nan
Interoperability,,,Autonomous Robots,,Cloud Computing,Cyber Physical System,,Internet of Things,,,nan,nan,nan,nan,nan
Lights-Out Environment,,,,,Cloud Computing,Cyber Physical System,,,,,nan,nan,nan,nan,nan
M2M,,,Autonomous Robots,,,,,Internet of Things,,,nan,nan,nan,nan,nan
Open Data,,,,Big Data,,,,,,,nan,nan,nan,nan,nan
Overall Equipment Effectiveness,,,,,,Cyber Physical System,,,,,OEE,nan,nan,nan,nan
Platform,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Predective Maintenance,,,,,,Cyber Physical System,,,,,Predictive Analytics,nan,nan,nan,nan
Radio Frequency Identification,,,,,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Smart Contract,,,,,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Smart Factory,,,Autonomous Robots,,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Smart Manufacturing,,,Autonomous Robots,,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Supervisory Control and Data Acquisition,,,,,,Cyber Physical System,,Internet of Things,,,SCADA,nan,nan,nan,nan
Virtual Reality,,Augmented Reality,,,,,,,Simulation,,nan,nan,nan,nan,nan
Advance Manufacturing,Additive Manufacturing,,,,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Building Information Modelling,,,,,,Cyber Physical System,,,,,BIM,nan,nan,nan,nan
Circular Economy,,,Autonomous Robots,,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Data Literacy,,,Autonomous Robots,,,,,,,,nan,nan,nan,nan,nan
Design thinking,,,Autonomous Robots,,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Digital literacy,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Digital disruption,,,Autonomous Robots,,,,,,,,nan,nan,nan,nan,nan
Digitalisation,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Fragmentation,,,,,,Cyber Physical System,,Internet of Things,,,nan,nan,nan,nan,nan
Industrial Internet of Things,,,,,,Cyber Physical System,,,Simulation,,Fourth Industrial Revolution,nan,nan,nan,nan
Industry 4.0,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,Industrie 4.0,nan,nan,nan,nan
Lean manufacturing,,,,,,Cyber Physical System,,,,,Lean Production,nan,nan,nan,nan
Machine learning,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Micro-credentials,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Operational Technology,,,,Big Data,,Cyber Physical System,,,Simulation,,nan,nan,nan,nan,nan
Platform economy,,,,Big Data,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Pull economy,,,,Big Data,,,,,,,nan,nan,nan,nan,nan
Search Engine Optimisation,,Augmented Reality,,Big Data,Cloud Computing,Cyber Physical System,Internet of Service,,,,nan,nan,nan,nan,nan
Servitisation,,,,,,,,,,,nan,nan,nan,nan,nan
Shared economy,,,Autonomous Robots,,,Cyber Physical System,,,,,Collaborative Consumption,nan,nan,nan,nan
Smart cities,,,,,,,,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Smart grids,,,,,,,,Internet of Things,Simulation,,nan,nan,nan,nan,nan
3D Simulation,,,,,,,,,Simulation,,nan,nan,nan,nan,nan
Cyber-Resilience,,,,Big Data,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Data Science,,,,Big Data,,,,,,,nan,nan,nan,nan,nan
Deep Learning,Additive Manufacturing,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Edge Computing,,Augmented Reality,Autonomous Robots,Big Data,Cloud Computing,,Internet of Service,Internet of Things,Simulation,,nan,nan,nan,nan,nan
Industrial Software,,,,,,Cyber Physical System,,Internet of Things,,,MES,nan,nan,nan,nan
Manufacturing Execution System,,,,,,Cyber Physical System,,,,,OSI,nan,nan,nan,nan
Open Interconnected Systems,,,,,,Cyber Physical System,Internet of Service,Internet of Things,,,Open Systems Interconnection Model,OSI Model,nan,nan,nan
Production Analystics,,,,,,Cyber Physical System,,,,,nan,nan,nan,nan,nan
Reference Architecture Model Industry 4.0,,,,,,Cyber Physical System,,,,,RAMI 4.0,nan,nan,nan,nan
Software as a Service,,,,,,,Internet of Service,,,,SAAS,nan,nan,nan,nan
